"Key","LastModified","ETag","Size","StorageClass","Bucket"
"parsed/F9-P03-T00-MISSION-2013.csv","2023-03-21T19:32:20.000Z","""c0244d27ba1b8738a599347b9e1e8e80-13""",104677272,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2013.rds","2023-03-21T19:33:15.000Z","""3d002d8d708515799c4fcbcd0c07375f-4""",27806185,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2014.csv","2023-03-21T19:33:28.000Z","""cda6f589e5feb4b3bc02439bb04ffb48-14""",116147987,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2014.rds","2023-03-21T19:34:23.000Z","""0e71197ff015ddc678776d72eaaabaa6-4""",31055091,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2015.csv","2023-03-21T19:34:31.000Z","""2802b1791cca3e27f0f4e81d0642e7a8-15""",124594558,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2015.rds","2023-03-21T19:35:20.000Z","""39bb552652f5305174c1fbb08f081502-4""",33177721,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2016.csv","2023-03-21T19:35:39.000Z","""ca2faa4711dedb758493f4c913a1169a-16""",130347884,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2016.rds","2023-03-21T19:36:58.000Z","""177e50b4f861fc17e69ea0526009e614-5""",34472638,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2017.csv","2023-03-21T19:37:13.000Z","""7eea535d621697121b7908700b12ce87-17""",136509424,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2017.rds","2023-03-21T19:38:21.000Z","""356224ffa4e0e91f0eeb1ebfbaa0fea5-5""",36811443,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2018.csv","2023-03-21T19:38:38.000Z","""d84360c63375eb79ef37fd4b672c0a23-18""",143654132,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2018.rds","2023-03-21T19:39:47.000Z","""a3c42b38b0c2118ddff0163ebd13dc85-5""",38143367,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2019.csv","2023-03-21T19:40:10.000Z","""b3b538b9c9daa98632b84d3f4df5beab-17""",134924062,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-MISSION-2019.rds","2023-03-21T19:41:19.000Z","""850e555a8dd50ec39f4b4427f289a9be-5""",35949327,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2009.csv","2023-03-21T19:41:30.000Z","""b46e6481711fcfced92dbb00395a4b4a-2""",8798942,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2009.rds","2023-03-21T19:41:43.000Z","""220c660614fea0ac6dcd1365afc84c82""",1635577,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2010.csv","2023-03-21T19:41:39.000Z","""1b26d09a7ba6a2f036d63b3208a58d25-4""",33143891,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2010.rds","2023-03-21T19:42:23.000Z","""92d3287fbb0976e2c78502bb252d00ff""",6487021,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2011.csv","2023-03-21T19:41:58.000Z","""d087cea60de9d4f1f612a807129dab5d-6""",43359507,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2011.rds","2023-03-21T19:42:49.000Z","""8441ed4232ce7d2405106e19d8737e07""",7885430,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2012.csv","2023-03-21T19:42:26.000Z","""1f4ae8e5090813f4a26e6c5804216a27-6""",49050162,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2012.rds","2023-03-21T19:42:49.000Z","""8e46999c392dcedab1f6022825c2f3f5-2""",9523271,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2013.csv","2023-03-21T19:42:57.000Z","""7909bfb0e1be3caac6ea6d4e02e2ccf8-7""",54379656,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2013.rds","2023-03-21T19:43:28.000Z","""b89d7a5704142fc4a98127b7c97fe131-2""",10532727,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2014.csv","2023-03-21T19:43:35.000Z","""35064ae20eba1bab45e9cfd3fef54fd2-8""",60040035,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2014.rds","2023-03-21T19:44:08.000Z","""4f4f3fb36a14eb149220d933f5bfd998-2""",11731327,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2015.csv","2023-03-21T19:44:14.000Z","""6d4db30c25557b7801c29f953747962f-8""",64167098,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2015.rds","2023-03-21T19:44:42.000Z","""56b1a6db77c03c500f0a84ca853a2e85-2""",12231076,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2016.csv","2023-03-21T19:44:47.000Z","""88b7fa71ff8434b3c9cef13df60edaea-8""",66932317,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2016.rds","2023-03-21T19:45:19.000Z","""404021e493bbccf6451733db812dddae-2""",12429021,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2017.csv","2023-03-21T19:45:21.000Z","""3621f26f17adaf60fd8bd32d977602e8-9""",69898938,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2017.rds","2023-03-21T19:45:55.000Z","""19781d40d9d8eca1d8ae37dd8f533fff-2""",13758319,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2018.csv","2023-03-21T19:46:05.000Z","""d8ee5f291373b0f809016d7d09efe6a7-9""",72549081,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2018.rds","2023-03-21T19:46:41.000Z","""0627ee9aa3dbfe885e537277665184c5-2""",13452694,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2019.csv","2023-03-21T19:46:43.000Z","""7d2d8989a6b78a91447d2310479ef27e-9""",67926320,"STANDARD","nccs-efile"
"parsed/F9-P03-T00-PROGRAMS-2019.rds","2023-03-21T19:47:21.000Z","""1ede368bfc548da722b04d526afdb345-2""",12581012,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2009.csv","2023-03-21T19:47:27.000Z","""695a8678d4b5093df3fe3a551cac894e-3""",20666411,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2009.rds","2023-03-21T19:47:43.000Z","""dd7e0a84bf18ab27a2551b13a61adbc7""",2261857,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2010.csv","2023-03-21T19:47:38.000Z","""0291cd36a1975929809d056643e97dc2-10""",82404447,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2010.rds","2023-03-21T19:48:13.000Z","""880bbadb24c05552125ff54e754a8920-2""",9111058,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2011.csv","2023-03-21T19:48:17.000Z","""a9ea1c38645241eca5b3c8c231581698-13""",109046784,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2011.rds","2023-03-21T19:49:12.000Z","""c321b678d6342ca68879eea7ea5f84aa-2""",11317344,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2012.csv","2023-03-21T19:49:23.000Z","""0b47c76f8d3ff1806086c6e6c3236b33-15""",123660813,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2012.rds","2023-03-21T19:50:15.000Z","""3eb610173a2fe7279bc9fe46805d2a8b-2""",13333526,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2013.csv","2023-03-21T19:50:25.000Z","""cdcf0fcdce1dbaba838d6834119266e3-17""",137458205,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2013.rds","2023-03-21T19:51:36.000Z","""aed460e1508b77184643363808689966-2""",14706913,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2014.csv","2023-03-21T19:51:39.000Z","""2d54d1c6d216cabd10b9b479b6c9257d-19""",152247061,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2014.rds","2023-03-21T19:52:55.000Z","""758516f7b10dc05c56fecc4fbb07b0c7-2""",16397639,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2015.csv","2023-03-21T19:53:02.000Z","""6b257fa311f6b43090b40e21fd60708a-20""",162975380,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2015.rds","2023-03-21T19:54:39.000Z","""d656059f25429023f17575da1d178ccb-3""",16933592,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2016.csv","2023-03-21T19:54:43.000Z","""0ec34d4881f0a6ce279d888392d03de5-21""",170341429,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2016.rds","2023-03-21T19:56:17.000Z","""c3eea009c75b6597bdbb758d9eac191c-3""",17261280,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2017.csv","2023-03-21T19:56:26.000Z","""7ae5c1d5dc8e9bcdc3b1a9c9472b13fd-22""",177698150,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2017.rds","2023-03-21T19:57:59.000Z","""f3974d1f1850ab7ad0f25115ad99e756-3""",18705644,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2018.csv","2023-03-21T19:58:06.000Z","""6fd8bee341910a862b222d6ca8bb23af-22""",184521313,"STANDARD","nccs-efile"
"parsed/F9-P04-T00-REQUIRED-SCHEDULES-2018.rds","2023-03-21T19:59:47.000Z","""c0198da6581e1a963b45d3c676e266f9-3""",18702696,"STANDARD","nccs-efile"
